hash,author,date,message,category,logs_added,logs_removed,logs_modified
89ebb94e4a1b79557b3d3e8482edcd0352bf6968,Alexey Serbin,Wed Oct 30 12:43:37 2024 -0700,KUDU-3623 do not crash on invalid input for 'kudu table copy',other,0,1,1
66794ac0970a6313e7a081720424228fdf8a5617,Ashwani Raina,Mon Jul 29 23:28:28 2024 +0530,KUDU-3595: Add interface to set rpc_max_message_size for C++ client,feature,0,0,0
c51e1354322a4d2cad268de26f254dd52b0c9df1,Alexey Serbin,Wed Oct 16 18:19:39 2024 -0700,KUDU-3620 fix heap-use-after-free and undefined behavior in OpDriver,bug_fix,2,0,0
446861c68cb3cc5e8ef8caaadf7d8eefc2ec1387,Alexey Serbin,Tue Oct 8 15:24:42 2024 -0700,[security-itest] stop polluting TEST_TMPDIR with logs,other,0,0,0
bfa875c00d657b8d5c37ed2032cf82c6c5704f37,Alexey Serbin,Wed Sep 25 21:25:41 2024 -0700,[tablet] reduce lock contention in OpTracker::Release(),other,0,0,1
60a5cb66a986b3a6901b7737253c10094fe6318b,kedeng,Wed Aug 14 17:10:49 2024 +0800,[ranger] enhance the robustness of key retrieval,other,1,0,0
3307375aaadda9fdd5d34f014c68cee1586cfbf3,Alexey Serbin,Fri Sep 20 16:09:53 2024 -0700,[tserver] don't spam logs about slow scanners,other,0,1,0
1c69ec6081a88dc531ebaa60b19abd4c0e54ae47,Alexey Serbin,Tue Sep 10 09:42:55 2024 -0700,[tablet] fix race in RowSetMetadata::id(),bug_fix,0,0,0
f6c32e991cb94a06d62ee6af167350496f9a51af,Yingchun Lai,Tue Aug 13 20:53:46 2024 +0800,KUDU-3606 [tools] Check column IDs when --strict_column_id is enabled,other,3,0,0
4c83217d95ec97801675feb36be3d70984eb29f7,Alexey Serbin,Fri Sep 13 17:49:15 2024 -0700,[test] leave generated files on a non-fatal failure as well,other,0,0,1
a0b7a52800de1a03f66c963e25feee8c63041acd,Alexey Serbin,Mon Sep 9 14:46:10 2024 -0700,[tablet] report per-thread status in mt-tablet-test,other,0,0,0
7acd71e9a5a33a92ab55122c316c89a8be61b3e1,Alexey Serbin,Fri Sep 6 11:18:05 2024 -0700,[rpc] micro-cleanup on InboundCall and ServicePool,refactor,0,0,0
f17ae080413f4f62046d6732d05ea4f5fdddefb0,Alexey Serbin,Mon Aug 26 12:47:01 2024 -0700,[rpc] instantiate DiagnosticSocket only if sock_diag available,other,1,0,0
d2b70fef79d963099c8def7632521d3f31da81ff,Marton Greber,Mon Aug 12 14:46:11 2024 +0000,KUDU-3543: Add JSON Content-Type Header,feature,0,0,0
4b5003add94e382278942489ef51662967b66197,Mahesh Reddy,Tue Apr 2 15:36:42 2024 -0400,KUDU-613: Integrate SLRU cache into block cache,other,7,0,2
145d34b11bc6d0d91401d237bf021d37c3e51632,Yingchun Lai,Sat Aug 17 10:57:53 2024 +0800,KUDU-3462 [UT] Fix a flaky test in log_block_manager-test,bug_fix,0,0,0
a9d42cdb8438858cf1bd18c203d1687ed5734346,xinghuayu007,Fri Aug 2 17:57:02 2024 +0800,Table copy supports creating empty range partition,feature,0,0,0
ae4a3a9b88a9b6016b1221f4f7cd0e41772a65ac,Alexey Serbin,Mon Aug 12 22:50:46 2024 -0700,[cfile] modernize CFileWriter,other,0,0,5
b8b080651e528080b8b4b5b58c6f1021b2dd01da,Mahesh Reddy,Thu Jun 13 16:01:01 2024 -0400,KUDU-613: SLRU Cache Benchmark,other,2,0,0
7ecad355065e4d0eb891c87813f347bb7d6819b2,Marton Greber,Sat Jan 6 00:50:16 2024 +0100,KUDU-3543 Fix Content-Type headers,bug_fix,0,0,0
780f6d27ce292473dda2b728a10b6296cb2a20df,Alexey Serbin,Thu Aug 1 17:57:31 2024 -0700,[cfile] minor clean-up,other,0,0,0
21af28ea6ab8ad4344e3522026a786a99c97afc2,Mahesh Reddy,Tue Jul 30 02:33:24 2024 -0400,[common] Remove std::lock_guard template parameter,other,0,0,0
39b70ee1ce0ee976b4c2a956ca3f82e4a0d47dca,Yingchun Lai,Sun Jul 7 23:53:04 2024 +0800,KUDU-3371 Parameterize some options of RocksDB,other,1,0,0
065acfbff08ab7d77308ebe9f874d9e1d08d608d,kedeng,Thu Jul 11 17:37:06 2024 +0800,[log] fix the Ranger client log count limit not working,bug_fix,1,0,0
0967b895a06f2b5b509db0ea2786d1ba721030d1,Alexey Serbin,Wed Jul 24 18:03:49 2024 -0700,[tests] re-enable ReplaceTabletsWhileWriting scenario,other,0,0,2
50171fc752911c8b83972bd57d7873f5cbcc3b7c,Yingchun Lai,Sun Jun 30 23:24:04 2024 +0800,KUDU-3371 Add NO_ROCKSDB build option,feature,1,0,0
794a681bfdb83fd902f953da6558fe462ee17aba,Yingchun Lai,Mon Apr 8 00:29:35 2024 +0800,KUDU-3371 check for RocksDB dir presence upon opening FSManager,other,2,0,0
5977402e3701b52888f91b7bb1e351f957e3c562,Alexey Serbin,Fri Jun 14 21:08:28 2024 -0700,[fs] remove chromium Atomics from FS,other,0,0,0
f49a548fe4bac91679744b4dd0efa895ff9c09e2,Mahesh Reddy,Fri Oct 20 16:24:45 2023 -0400,KUDU-613: Introduce SLRU cache,other,1,0,0
2161950da43f9daa71f2297683e60e3ff7fcd1db,Zoltan Martonka,Wed Jun 5 03:16:39 2024 -0400,[ARM] Concurrent binary tree memory barriers fixed.,bug_fix,0,0,0
d370e0e4511508790c065340a52242ee09ecfea3,kedeng,Thu Apr 25 11:41:19 2024 +0800,[metrics] Add metrics for tablet copy op time,feature,0,0,0
f4a47fe041b7f547fd4816706347523e06f94f6d,Zoltan Martonka,Wed May 29 13:23:17 2024 +0000,Add a benchmark for CBTree concurrent writes.,feature,0,0,0
d7fb77f4cfbf6d638c6d11009ce3728ae30e01e3,xinghuayu007,Wed May 8 14:51:20 2024 +0800,Leader rebalance ignores soft deleted tables,other,0,0,0
eb0a41fdb0642baa61a58f925bb82157330abe7a,Alexey Serbin,Wed May 8 17:43:57 2024 -0700,[common] get rid of MutexLock,other,0,0,0
a3ed48d932d203e9310cca396e5530d6ed6eaa87,Alexey Serbin,Wed May 8 15:51:27 2024 -0700,[common] switch from unique_lock to lock_guard,other,0,0,0
b607633fd3c2b676fbd2cbe57c44bddf818dc457,Ashwani Raina,Thu May 9 22:23:14 2024 +0530,KUDU-3568 Fix compaction budgeting test by setting memory hard limit,bug_fix,0,0,1
b72fc6255a77418ef87fc5f07476528b027c6f99,kedeng,Wed Apr 17 14:10:27 2024 +0800,[metrics] Add metrics for create and delete op time,feature,0,0,0
732f0c1e51bca04091431859918a3b84866373a0,Alexey Serbin,Thu May 2 18:48:50 2024 -0700,[tserver] limit number of trace metrics for TabletCopyClient,logging_improvement,0,0,0
c39e72a98e124e5a12080bac42105b996594d806,Alexey Serbin,Tue Apr 30 21:33:12 2024 -0700,[tablet] fix WriteOp::ToString() for non-started ops,bug_fix,0,0,0
b2a6fe26266e170b5e885d1ddac6a5f03ded1759,Alexey Serbin,Wed Apr 24 19:03:27 2024 -0700,[util] fix TidyBot warnings in ScopedTracer,bug_fix,0,0,0
d8c315782bcd64e6c512885cc3ba578acbd6f45c,Alexey Serbin,Thu Apr 4 13:04:13 2024 -0700,[c++17] fix unsorted compilation warnings with CLANG15,bug_fix,0,0,0
48ee1e8b5d7792384178c75840a998e413aaa512,Ashwani Raina,Tue Jan 23 17:50:11 2024 +0530,[compaction] Code cleanup and readability improvement,refactor,0,0,3
4da8b20070a7c0070a1829dfd50fdc78cad88b6a,Yingchun Lai,Sun Mar 12 22:41:48 2023 +0800,KUDU-3371 [fs] Use RocksDB to store LBM metadata (2nd try),other,4,0,2
647726ad6b2aab0c6a6d34e16e027debd8a827eb,Ashwani Raina,Fri Mar 1 16:51:27 2024 +0530,[ranger] KUDU-3558 Error out early when keytab file flag is empty,other,1,0,0
d7fa4f9e62c4e9d87246656d1aea1b450cbf90fd,xinghuayu007,Thu Feb 29 15:12:14 2024 +0800,[Tool] Return not OK status when copying tablets failed,other,0,0,0
c11c028b43349a69cce29653e8db4032825e5aa9,Alexey Serbin,Fri Jan 26 16:14:08 2024 -0800,[rpc] validate security-related parameters earlier,other,0,0,0
7b35b1d4e6743743f1497d08880ab246db5c5f58,Alexey Serbin,Tue Feb 20 21:22:46 2024 -0800,[rpc] fix typo in branch prediction,bug_fix,0,0,0
86b4f784d74b8746d1da5563c433702fa1f2ed39,Marton Greber,Fri Feb 9 18:09:20 2024 +0000,"Revert ""KUDU-3371 [fs] Use RocksDB to store LBM metadata""",other,0,4,2
58d2338de8d586106ea29cfa281ee653392a9145,Yingchun Lai,Sun Mar 12 22:41:48 2023 +0800,KUDU-3371 [fs] Use RocksDB to store LBM metadata,other,4,0,2
89e2715faf96afe0b67482166fda9c8699e8052f,Ashwani Raina,Tue Dec 19 17:32:31 2023 +0530,[compaction] Add tests to generate high memory rowset compaction,feature,1,0,0
366596389b12df977a93408eebdc7dc9e30be3b3,Zoltan Martonka,Mon Jan 29 16:07:49 2024 +0000,KUDU-3527 Fix block manager test when using 64k container block alignment,bug_fix,1,0,0
c0c44a8acd8d6366987af687d5665f751249a95a,Alexey Serbin,Tue Jan 16 14:19:47 2024 -0800,[rpc] introduce rpc_listened_socket_rx_queue_size metric,other,6,0,1
ec6cf7b12047f8a30884a5c4aa6c1dbdb6aabad6,Ashwani Raina,Tue Nov 21 20:16:20 2023 +0530,[compaction/flush] Cleanup of compaction and flush code paths,refactor,0,0,0
264510c877a4ef23b223552af3027a478db51f67,Yingchun Lai,Tue Jan 9 23:40:26 2024 +0800,Use GTEST_SKIP() to skip tests,other,0,25,0
1214a38e55231ff3aad342ef9efbc326f7a6e659,Alexey Serbin,Mon Dec 18 17:55:08 2023 -0800,[log] use THROTTLE_MSG for KLOG_EVERY_N_SECS when necessary,other,0,2,0
b88e3e9e46aaa710d7c32558a1aa355d0bee7913,Alexey Serbin,Thu Jan 4 09:48:17 2024 -0800,[java] add sequenceId into the tracked RPCs' trace,feature,0,0,0
0c8d2eee1ee2b03d0de369d5975f153b00e26b36,Alexey Serbin,Thu Dec 7 10:22:37 2023 -0800,[rpc] extra test scenarios for exactly-once RPC logic,other,0,0,0
